,ФО,Регион,Регион название,Регион население
0,Дальневосточный федеральный округ,Амурская обл.,Амурская область,798424
1,Дальневосточный федеральный округ,Бурятия,Республика Бурятия,984511
2,Дальневосточный федеральный округ,Еврейская АО,Еврейская автономная область,162014
3,Дальневосточный федеральный округ,Забайкальский край,Забайкальский край,1072806
4,Дальневосточный федеральный округ,Камчатский край,Камчатский край,315557
5,Дальневосточный федеральный округ,Магаданская обл.,Магаданская область,144091
6,Дальневосточный федеральный округ,Приморский край,Приморский край,1913037
7,Дальневосточный федеральный округ,Саха (Якутия),Республика Саха (Якутия),964330
8,Дальневосточный федеральный округ,Сахалинская обл.,Сахалинская область,490181
9,Дальневосточный федеральный округ,Хабаровский край,Хабаровский край,1328302
10,Приволжский федеральный округ,Башкортостан,Республика Башкортостан,4063293
11,Приволжский федеральный округ,Кировская обл.,Кировская область,1283238
12,Приволжский федеральный округ,Марий Эл,Республика Марий Эл,682333
13,Приволжский федеральный округ,Мордовия,Республика Мордовия,805056
14,Приволжский федеральный округ,Нижегородская обл.,Нижегородская область,3234752
15,Приволжский федеральный округ,Оренбургская обл.,Оренбургская область,1977720
16,Приволжский федеральный округ,Пензенская обл.,Пензенская область,1331655
17,Приволжский федеральный округ,Пермский край,Пермский край,2623122
18,Приволжский федеральный округ,Самарская обл.,Самарская область,3193514
19,Приволжский федеральный округ,Саратовская обл.,Саратовская область,2462950
20,Приволжский федеральный округ,Татарстан,Республика Татарстан,3894284
21,Приволжский федеральный округ,Удмуртия,Удмуртская Республика,1513044
22,Приволжский федеральный округ,Ульяновская обл.,Ульяновская область,1246618
23,Приволжский федеральный округ,Чувашия,Чувашская Республика,1231117
24,Северо-Западный федеральный округ,Архангельская обл.,Архангельская область,1111031
25,Северо-Западный федеральный округ,Вологодская обл.,Вологодская область,1176689
26,Северо-Западный федеральный округ,Калининградская обл.,Калининградская область,994599
27,Северо-Западный федеральный округ,Карелия,Республика Карелия,622484
28,Северо-Западный федеральный округ,Коми,Республика Коми,840873
29,Северо-Западный федеральный округ,Ленинградская обл.,Ленинградская область,1813816
30,Северо-Западный федеральный округ,Мурманская обл.,Мурманская область,753557
31,Северо-Западный федеральный округ,Новгородская обл.,Новгородская область,606476
32,Северо-Западный федеральный округ,Псковская обл.,Псковская область,636546
33,Северо-Западный федеральный округ,Санкт-Петербург,Санкт-Петербург,5351935
34,Северо-Кавказский федеральный округ,Дагестан,Республика Дагестан,3063885
35,Северо-Кавказский федеральный округ,Ингушетия,Республика Ингушетия,488043
36,Северо-Кавказский федеральный округ,Кабардино-Балкария,Кабардино-Балкарская Республика,865828
37,Северо-Кавказский федеральный округ,Карачаево-Черкессия,Карачаево-Черкесская Республика,466305
38,Северо-Кавказский федеральный округ,Северная Осетия,Республика Северная Осетия — Алания,701765
39,Северо-Кавказский федеральный округ,Ставропольский край,Ставропольский край,2800674
40,Северо-Кавказский федеральный округ,Чечня,Чеченская Республика,1436981
41,Сибирский федеральный округ,Алтайский край,Алтайский край,2350080
